Название,Место,Описание,Теги
Как мы хоронили Иосифа Виссарионовича,Театр.doc на Лесной,"Трагифарс «Как мы хоронили Иосифа Виссарионовича» позволяет проследить, какими путями в душе современного человека прорастает сталинизм. Отвечая на такой вопрос, невозможно оставаться исключительно в зоне серьёзности. Поэтому трагифарс не только актуальный и жуткий, но и очень смешной.

В одном крупном российском театре решают поставить смелый спектакль о Сталине. Роли распределены, декорации установлены, назначен предпремьерный показ для СМИ. Но так случилось, что незримым зрителем спектакля оказался президент РФ. Через помощника он заявляет: «Любопытно глянуть, как там моего предшественника показать собираются»...

Начинаются мучительные переделки спектакля в угоду правителям прошлого и настоящего, при этом ни Иосиф Сталин как исторический персонаж, ни президент РФ на сцене не появляются, потому что в центре внимания находятся не они, а наши сограждане и современники, в данном случае — «художественная элита».","['Спектакль', 'Драма']"
Примадонны,Театриум на Серпуховке,"Комедия, вдохновлённая кинохитом 50-х годов «В джазе только девушки» с Мерлин Монро в главной роли. Главные герои спектакля Джек и Лео — незадачливые актёры, которые зарабатывают себе на жизнь, играя за очень маленькие гонорары в провинциальных театрах сценки из Шекспира.

Но однажды на горизонте появляется шанс изменить свою тяжёлую судьбу. Они узнают, что престарелая миллионерша разыскивает пропавших много лет назад племянниц, чтобы передать им все свои деньги. Джек и Лео решают использовать свои актёрские способности, чтобы обмануть старуху и стать самим миллионерами.

План очень простой, но как это бывает в комедии (да и в жизни), всё начинает идти не так, как запланировано…

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Антон и Виктория Макарские,Храм Христа Спасителя. Зал Церковных Соборов,"Долгожданный живой семейный концерт Антона и Виктории Макарских в день Прощёного воскресенья.

Живой семейный концерт — яркое интерактивное музыкальное действо, выходящее за пределы привычного формата эстрадного концерта и не имеющее аналогов среди проектов российских исполнителей. Не случайно концерт называется «Живым», так как именно зрители создают программу вечера и становятся полноценными участниками уникального концерта! На эти концерты взрослые с удовольствием приходят вместе с детьми, т. к. и для самых юных зрителей тоже будут музыкальные сюрпризы. Поэтому концерт не просто живой — он семейный.

Антон и Виктория являются звёздами мюзиклов и телеэкрана, но также и идеальной супружеской парой. С первой минуты они влюбляют в себя зал своим тонким чувством юмора, необыкновенными голосами и непосредственным общением с публикой. Их творчество — это глоток свежего, чистого воздуха в современном бушующем мире.

Безупречный репертуар состоит из самых красивых и любимых мелодий: как написанных специально для Макарских известными авторами — Сергеем Трофимовым, Ириной Дубцовой, Игорем Корнелюком, Максимом Дунаевским, Муратом Насыровым, так и ставших уже легендой — «Обними» и ария Belle из мюзикла Notre Dame de Paris.","['Концерт', 'Эстрада']"
Актриса,в 2 местах,"Мария Аронова и Владимир Большов откроют для вас все тайны закулисья, где любят и ненавидят, целуют и проклинают, смеются и плачут, клянутся в верности и с легкостью предают... Где живут, находясь «в образе», и играют по правилам жизни...

Уникальный авторский ход — «театр в театре». Он и Она — в остром закулисном диалоге — настоящий подарок поклонникам театра.","['Спектакль', 'Комедия']"
Каток «Сияние льда» в Таганском парке,Таганский парк,"На футбольном стадионе парка открыт каток «Сияние льда» с искусственным льдом. Его площадь — 4,6 тысячи квадратных метров. Для посетителей работают пункты проката и заточки коньков, гардероб, прокат помощников фигуристов, детского комплекта защиты. Каток работает ежедневно.

Каток работает по сеансам:
Понедельник, вторник, среда, пятница, суббота:
1 сеанс — 10:00–12:00;
2 сеанс — 13:00–15:00;
3 сеанс — 17:00–19:00;
4 сеанс — 20:00–22:00.

Четверг:
1 сеанс — 10:00–15:30;
2 сеанс — 13:00–15:00;
3 сеанс — 17:00–22:00.

Воскресенье:
1 сеанс — 10:00–15:30;
2 сеанс — 17:30–19:30;
3 сеанс — 20:00–22:00.

Приходите на сеанс катания заранее, чтобы успеть переодеться перед выходом на лёд и не создавать очередей.

Дополнительные услуги оплачиваются на катке! При аренде коньков, помощников фигуристов, комплекта защиты необходимо оставить залог наличными деньгами!

Дети до 12 лет без сопровождения совершеннолетних лиц на лёд не допускаются. Сопровождающие допускаются на лёд только в ледовых коньках.

При покупке льготного билета, на входе необходимо предъявить документ, подтверждающий льготу.","['Каток', 'На воздухе', 'Детям']"
Рождественская история,Театр кукол им. Образцова,"Страшный скряга и брюзга Скрудж терпеть не может Рождества и не понимает всеобщего праздничного веселья. Но однажды в Сочельник ему являются три загадочных духа и, словно на машине времени, переносят его в прошлое и будущее, заставляя решительно изменить свою жизнь. Это ли не чудо? Мы попадем в зимний Лондон XIX века и почувствуем аромат английского Рождества! Выдающийся художник Виктор Плотников, автор сценографии к «Snow Show» Славы Полунина, придумал для спектакля невероятные декорации, множество эффектных аттракционов и удивительных кукол, в том числе — огромных Призраков четырехметровой высоты.

Музыка Андрея Рубцова будет звучать в исполнении актеров, хора и живого оркестра на сцене.","['Кукольный спектакль', 'Детям']"
Бесы Достоевского,Театр на Бронной,"Новый спектакль Константина Богомолова — это не версия романа «Бесы», а скорее режиссерский опыт прочтения прозы Достоевского и результат полемического диалога с автором. Соединяя в одном спектакле различные театральные жанры, режиссер выстраивает сложносочиненное действие, в котором темы романа Достоевского обрастают дополнительными режиссерскими сюжетами. Текст Достоевского становится для Богомолова основой для создания собственной режиссерской драматургии.

Константин Богомолов: «Бесы» — это и детектив, и мелодрама. «Бесы» — это и реалии русской общественной жизни, остающиеся неизменными из века в век. «Бесы» — об исследовании границ и пределов. Об изношенности ценностей. О психическом кризисе цивилизации, кризисе человека и гуманизма. В конце концов, «Бесы» — о конце времени. Об иссякании надежды, смысла и самой энергии жизни».","['Спектакль', 'Драма']"
Большой каток «Ил» в парке «Ходынское поле»,Парк «Ходынское поле»,"Большой каток «Ил» в парке «Ходынское поле» — это новый, большой и яркий каток! Площадь катка — 3300 м².

Каток работает по сеансам пн–чт:
1 сеанс — 10:00–13:00;
2 сеанс — 14:00–16:00;
3 сеанс — 17:00–19:00;
4 сеанс — 20:00–22:00.

Технические перерывы: 13:00–14:00, 16:00–17:00, 19:00–20:00

Сеансы пт–вс:
1 сеанс — 10:00–13:00;
2 сеанс — 14:00–16:00;
3 сеанс — 17:00–19:00;
4 сеанс — 20:00–23:00.

Технические перерывы: 13:00–14:00, 16:00–17:00, 19:00–20:00

После каждого сеанса проводится небольшой технический перерыв, за время которого удаётся полностью восстановить ледовое покрытие.

На катке предусмотрены следующие услуги: прокат коньков, аренда помощников фигуриста, тёплая раздевалка, индивидуальные тренировки по фигурному катанию.

Вы можете прийти в любой сеанс выбранного дня.
Билеты продаются онлайн и на кассе катка. Льготные только на кассе.

Бесплатно для детей до 7 лет. Сопровождение детей является обязательным и оплачивается согласно выбранного тарифа. Также предусмотрены бесплатные сеансы для детей-сирот, детей с инвалидностью I, II и III групп, ветеранов ВОВ и пенсионеров. Билеты действительны при предъявлении оригинала документа, подтверждающего льготу.","['Каток', 'Детям', 'На воздухе']"
Петсон и Финдус,Аполлинария,"Интерактивный спектакль для детей от 3 лет.

По мотивам серии произведений шведского писателя Свена Нурдквиста «Петсон и Финдус». Ребята отправятся в гости к старичку Петсону и откроют для себя историю его знакомство с котёнком Финдусом. Зрители узнают о приключениях и взросление этого шаловливого котёнка, помогут испечь именинный пирог и побывают на дне рождения главного героя. Вы окунётесь в удивительный мир, где счастье может скрываться в обыкновенной коробке, коты умеют говорить, а по двору носятся хулиганистый Мюклы. Эта история точно подарит хорошее настроение и влюбит всех зрителей в героев милой истории о дружбе.","['Спектакль', 'Детям', 'Интерактив']"
Женское счастье,Театр на Трубной,"В погоне за счастьем можно упустить саму жизнь…

Как понять, что на самом деле хочет женщина? Дом, семью, детей или карьеру? Где найти определение женского счастья?

В центре событий спектакля — молодая и успешная журналистка. У неё есть всё, о чём мечтают другие: квартира в Москве, работа на телевидении, интересное окружение, но девушка не чувствует себя счастливой.

Почему? Что можно ещё желать?

Она анализирует свою жизнь и осознаёт, что упустила самое главное…

Удастся ли героине реализовать мечты детства и найти настоящее счастье?

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Драма']"
Не в свои сани не садись,Театриум на Серпуховке,"Искромётная комедия по пьесе Островского «Не в свои сани не садись!».

Неповторимый спектакль яркого режиссёра современности Романа Самгина (любимого ученика Марка Захарова) и прекрасного художника-сценографа Ольги Шагалиной несёт настоящее ощущение праздника, в котором нет места отчаянию, а только любви, честности и справедливости!

Действие происходит в уездном городе Черёмухине. Дочь местного купца влюбляется в заезжего молодца, отставного кавалериста. Он очень красив собой и красиво говорит. Вот только у офицера свои цели — выгодно жениться, чтобы поправить своё материальное положение. Но отец девушки понимает истинное намерение жениха и устраивает ему проверку...

В спектакле много музыки, песен, движения и пластики, позитивного настроения и романтики романсов в исполнении блестящего актёрского состава.

Дворянство и купечество, любовь и интриги, мораль и нравы XIX века и извечный вопрос — в чём же истинное счастье. Пьеса классика Александра Островского на все времена — актуальна и сегодня! Тем более, когда её исполняют истинные мастера сцены и прославленные артисты! Не пропустите!

Спектакль идёт с антрактом.

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Комедия']"
Острые предметы,в 2 местах,"Детективная комедия о любви.

В центре в чём-то даже детективного сюжета две супружеских пары переживающие не самые простые времена. Неуспешная художница убеждена, что не склонна к ревности. Самоуверенный врач думает, что свободен в выборе женщин. Хрупкая домохозяйка ищет страсти и существует в воображаемом мире. Идеалист-адвокат задаёт себе и своим подопечным неудобные вопросы.

Вместе с героями спектакля зритель проходит через романтические, курьёзные, трагические и фарсовые ситуации, пытается ответить на сложные и важные вопросы о любви и браке.

История, которую мы рассказываем, она не только о любви, но ещё и о свободе. О границах, которые появляются, когда связываешь себя отношениями. Нашим спектаклем мы пытаемся ответить на вопросы: возможна ли в супружеских отношениях свобода? Полюбив, ты обретаешь свободу или теряешь её? Измена освобождает или порабощает?","['Спектакль', 'Драма']"
Мой Лермонтов,Губернский театр,"Человек, способный на глубокие чувства, но бегущий от них. Человек «без кожи», остро реагирующий на любые движения в окружающем мире, природе, обществе... Человек, для которого понятие чести — не пустой звук. Офицер, поэт, мнительный самоед и уверенный в собственном превосходстве над всеми философ...

Все это о нем, о русском поэте Михаиле Юрьевиче Лермонтове. В моноспектакле «Лермонтов» режиссер-постановщик Елена Черная и актер Кирилл Зайцев пытаются понять, чем сегодня, спустя два века, нас волнуют произведения этого противоречивого поэта. Лермонтовские стихи, проза, письма, романсы на его слова в исполнении Кирилла Зайцева — не декламация, а пропущенные через себя боль, сомнения, влюбленности, раздумья. Зайцеву удалось, сохранив атмосферу эпохи 19 века, донести до зрителя современность экзистенциональной лирики Лермонтова.

Для Елены Черной это не первое обращение к творчеству Лермонтова. Она привлекла к постановке художников, использующих современные технологии, для создания на сцене такого контекста, который дополняет актерское исполнение новыми смыслами. Полтора часа наедине с Лермонтовым — это бесценный опыт не только для поклонников творчества поэта. Это еще и возможность нового мироощущения, переоценка устоявшихся стереотипов. И, конечно, для школьников — лучшего способа для первого знакомства с великим поэтом не найти.

После спектакля зрителей ждет беседа с актером, фото- и автограф-сессия!","['Спектакль', 'Моноспектакль']"
Учёная семейка и квадрокоптер,Центральный дом актёра,"Вы верите в чудеса, созданные своими руками? А ведь такие встречаются... И мы готовы познакомить вас с замечательной, учёной семейкой. Они не волшебники. Они занимаются наукой. Ведь она и есть настоящее чудо!

Итак, вашему вниманию предлагается интерактивный шоу-спектакль «Учёная семейка и квадрокоптер».
Знакомьтесь:
— Иван Степанович, глава семьи, сохранивший юношеский задор, учёный, испытатель, конструктор и исследователь;
— Мария Ивановна, жена главы семьи, всегда готова подставить плечо мужу в его самых невероятных изысканиях;
— Миша, внук Ивана Степановича — его верный помощник и конструктивный критик;
— Лиза, внучка Ивана Степановича, девушка яркая, со всеми вытекающими последствиями молодости.

Мы приглашаем вас в гости к этой дружной семейке. В их камерный зал, всего на тридцать гостей, у них всегда уютно, как дома и жизнь там бьёт ключом! Потому как в представлении принимают участие все герои — независимо, где они находятся — на сцене или за кулисами. И вы сможете не просто увидеть спектакль, необычное шоу и уникальные опыты, основанные исключительно на научных знаниях, вы станете непосредственными участниками всего происходящего!

Интерактив гарантирован! А ещё гарантированы чудесные сюрпризы, поразительные изобретения, весёлое настроение! И сногсшибательный финал! Скучать не придётся!

В разных представлениях выступают на сцене разные герои, разные истории и эксперименты!

Рекомендованный возраст от 4-х до 10-и лет.","['Спектакль', 'Детям', 'Интерактив']"
Ханума,ЦДКЖ,"Что случилось в Тифлисе? О чем шепчутся все кумушки в Авлабаре? О чем поют кинто на базаре? Кабато решилась перейти дорогу самой Хануме! Да разве Ханума такое допустит?! Сваха против свахи — опыт против азарта! В битве профессионалов за право устроить свадьбу самого князя Пантиашвили в ход пойдут коварные интриги и льстивые речи, мгновенные переодевания и неожиданные признания. Кто же победит? Кому достанутся все женихи и невесты Авлабара?

Водевиль — это жанр драматического искусства, соединяющий в себе комедийное представление с песнями и танцами. В нашем театре комедия-водевиль «Ханума», в основе которой лежит одноименная пьеса, написанная в 1882 году Авксентием Цагарели, показана в новом исполнении, в котором сочетаются звонкая музыка, яркие костюмы и декорации. А игра блистательных и неподражаемых артистов заворожит каждого зрителя, вызовет бурные чувства и сохранит веселое настроение на долгое время!

В составе исполнителей возможны изменения без дополнительного уведомления.

Спектакль с антрактом.","['Музыкальный спектакль', 'Комедия']"
Оркестр CAGMO. Симфония Naruto,Vegas City Hall,"CAGMO представляет концертную программу по одному из самых популярных аниме в мире — «Симфония Наруто».

Удивительная история Наруто и его друзей до сих пор привлекает внимание зрителей своей уникальностью, глубоким сюжетом и яркими персонажами. Особые музыкальные темы, опенинги и эндинги аниме без сомнения знакомы каждому поклоннику мира Шиноби.

В исполнении оркестра CAGMO прозвучат главные темы из двух сезонов Наруто. Эпический саундтрек в оригинальных авторских аранжировках передаст атмосферу героических приключений и доблестных поступков главных героев.

Концертная программа «Симфония Наруто» для фортепиано, струнного оркестра и флейты — это возможность погрузиться в мир дружбы и мудрости знаменитого аниме. Особое звучание композиций подчеркнет яркий вокал, а мощь и динамику сражений передаст электрогитара и ударные.

Пришло время отправиться в музыкальный путь Наруто к признанию и мечте вместе с CAGMO!","['Концерт', 'Шоу', 'Классическая музыка', 'Саундтрек', 'Поп']"
Мастер и Маргарита,Студия театрального искусства,"Неожиданная и эффектная версия великого романа. Зрителя ждет множество режиссерских находок, визуальных чудес и фокусов. И незабываемый Воланд — одна из лучших ролей актера Алексея Верткова. На сцене — три поколения студийцев.

Сергею Женовачу вручена театральная премия «Хрустальная Турандот» за лучшую режиссуру (2017 год).","['Спектакль', 'Драма']"
Кто-нибудь видел архитектора?,Клаустрофобия в Померанцевом переулке,"Вы когда-нибудь пробовали найти человека, которого не видели ни разу в жизни? а разгадать тайну появления целого города? Если нет, значит, добро пожаловать в наш квест!

Комнаты одного старого и неприметного дома полны странных предметов. Колонны-карандаши, холодильник из гигантского пакета молока и шкаф из пачки чая — кажется, это следы безумных экспериментов архитектора. Вам предстоит отыскать устройство для перемещения объектов между мирами, узнать главный секрет архитектора и раскрыть тайну создания Плюс Сити.

Квест будет интересен как давним поклонникам игры, так и новичкам, только открывающим для себя город.

Возрастные ограничения : от 6 лет со взрослыми, от 16 без
Читать полностью","['Квест', 'Лёгкий', 'Нестрашный', 'Детям']"
Мастер и Маргарита,в 5 местах,"Мастер: «Он мне ненавистен, этот роман». Воланд: «Ваш роман ещё принесёт вам сюрпризы».

Действие «Мастера и Маргариты» начинается в московском парке, на Патриарших прудах. Случайная встреча двух литераторов с иностранцем, который оказывается Сатаной собственной персоной выглядит абсолютно нереальной.

Сатана в Москве ставит людям зеркало, в которое они могут не только посмотреться, обнажить без жалости свои худшие пороки: жадность, гордыню, властолюбие, ложь и предательство, но также вспомнить, что есть сила, которая мощнее зла и ненависти — это настоящая, верная, вечная любовь.

Такая любовь, которая делает людей способными на жертвы, на безумства во имя чувств, на мужество против всего, такая, которая соединила Маргариту и Мастера.

Создатели спектакля задаются вопросом о значении духовности, правды и свободы. «Мастер и Маргарита» в постановке Московского театра комедии — это спектакль, наполненный спецэффектами, иллюзией, он пропитан магией, как и сам роман Булгакова.

В составе исполнителей возможны изменения без дополнительного уведомления.","['Спектакль', 'Драма']"
Хореографический ансамбль «Берёзка»,в 3 местах,"Всемирно известный Государственный академический хореографический ансамбль «Берёзка» образован в 1948 г. выдающимся хореографом XX века Надеждой Надеждиной. Человек высочайшей культуры и эрудиции, она хорошо знала, какие богатства таятся в творчестве русского народа, и видела это глазами поэта.
Сочинённый ею девичий хоровод на тему русской народной песни «Во поле берёзонька стояла» вот уже 75 лет завораживает зрителей своим диковинным, «плывущим» шагом, создающим впечатление, что девушки стоят на месте, а сцена под ними вращается.

Впоследствии этот фирменный шаг использовался во многих хороводах ансамбля «Берёзка». За все годы концертной деятельности коллектива, по сведениям прессы, хороводы ансамбля «Берёзка» прошли «плывущим» шагом расстояние превышающее длину экватора.

К «Берёзке» сразу пришла популярность. Гастроли ансамбля сопровождались триумфальным успехом и принесли коллективу мировое признание. Творениям Надежды Надеждиной восторженно аплодировали на всех континентах планеты. В годы холодной войны зарубежная печать писала о выступлениях ансамбля, как об «огненной сенсации» и свидетельствовала, что искусство «Берёзки», человечное и одухотворённое, «пробуждает добрые чувства и веру в братство между людьми». Всемирный совет мира ещё в 1959 г. присудил «Берёзке» золотую медаль за вклад в укрепление дружбы между народами.","['Концерт', 'Шоу', 'Музыка народов мира', 'Танцы']"
"MetalliadA: симфонические сюиты Metallica, Iron Maiden, Ghost, Nightwish",в 2 местах,"MetalliadA — новый проект от промоутеров и продюсеров больших международных постановочных концертов Notre Dame de Paris (Гару, Брюно Пельтье, Элен Сегара и другие), Mozart L’Opera Rock. Le Concert (Микеланджело Локонте, Флоран Мот и другие), «Классическая Ария» (выступления гр. «Ария» с симфоническим оркестром «Глобалис», дирижёр Ульф Ваденбрандт), единственного российского симфонического тура Тарьи Турунен (экс-вокалистка Nightwish), успешных гастролей Nightwish и Children of Bodom в странах СНГ на протяжении последних 20 лет.

Зрители погружаются в атмосферу настоящего, живого и необычного «классического концерта», где прозвучат мастерски аранжированные шедевры «тяжёлой музыки»: уникальные сюиты и оригинальные композиции.

Монументальные произведения грандов, не потерявшие актуальность и популярность Metallica, Iron Maiden, Ghost и Nightwish, облечённые в «симфонические сюиты», прозвучат в исполнении полностью живого классического оркестра (40 музыкантов)...

MetalliadA — это современное шоу по классическим канонам:
— живой симфонический звук;
— театральная декорация;
— концертный свет.

Полноценный симфонический оркестр исполняет произведения «живьём», без «подкладов», «синхронов», фонограмм и прочих подобных атрибутов нашего времени.

Мы не объявляем дресс-код, хотя и ожидаем зрителей в вечерних туалетах.

Приходите за приятным удивлением и яркими эмоциями, ведь Вас ждет захватывающее и современное шоу от Симфонического оркестра «MetalliadA»!","['Концерт', 'Метал', 'Рок', 'Классическая музыка']"
Мелкий бес,Сцена «Мельников»,"Самый известный роман главного мистика литературы Серебряного века главный волшебник театра XXI века ставит как магическую расшифровку колдовских букв и слов. Настоящий творец – единственный, кому подвластно менять реальный мир по своей воле. Этим владел автор романа, владеет этим и Виктюк.

К «Мелкому бесу» он обращался уже дважды. До этого были резонансные спектакли в Русском театре Эстонии (1983) и в театре «Современник» с Игорем Квашой, Лией Ахеджаковой, Ниной Дорошиной в главных ролях (1987), где спектакль имел бешеный успех у публики.

Третье обращение мастера режиссуры к тексту Сологуба несет совершенно новые смыслы, новую эстетику – то, что актуально именно сейчас, в веке прогресса, зачастую уничтожающем духовное в людях. Нашему миру сейчас отчаянно не хватает познания себя и стремления к гармонии, поэтому и возникнет новый, особый, колдовской мир – мир Недотыкомки, того самого беса, который, существуя лишь в воображении главного героя, способен при этом управлять вселенной.","['Спектакль', 'Экспериментальный театр', 'Драма']"
Пётр I,Модерн,"В основе сюжета — противоречивая фигура царя Петра Первого, чья личность вызывала у современников самые противоположные эмоции, от благоговения до животного страха. Антихрист или Христос, Свет или Тьма — кем же был российский правитель для своего народа, и что он оставил потомкам, в том числе и нам сегодняшним — добро или зло?

Чем исторически оборачивается для России желание следовать «западным меркам», забывая о своей аутентичности?","['Спектакль', 'Драма']"
Романтическая комедия. Стендап в театрах Москвы,ЗИЛ,"Сводите пару на единственный в году ромком стендап в культурном центре ЗИЛ. С монологами о любви выступят Яся Тринадцатко, Давид Квахаджелидзе, Денис Антипин и Миша Кострецов.

Мы подобрали топовых комиков с лучшими шутками о любви, отношениях и семье. Все они — участники проектов «Стендап на ТНТ», «ЧУВС», «Разгоны» и других крупных шоу.

Всего на один вечер вспоминаем атмосферу каноничных романтических комедий, где сначала в паре появляются проблемы, но потом они делают выводы и бегут за другом другом по аэропорту в надежде не упустить любовь всей своей жизни.

Концерт проходит с театральной рассадкой, что делает вечер еще смешнее — минимум отвлекающих факторов и полный фокус на сцену. Вам остается только наслаждаться шоу.

Продолжительность программы: 1 час 20 минут.
Возможны изменения в составе (но только в лучшую сторону!).","['Стендап', 'Шоу', 'Юмор']"
Белая уточка,Театр кукол им. Образцова,"Страшно интересная сказка для подростков и взрослых. Сказка в новаторском для Театра Образцова формате: мистическое фэнтези, фолк-хоррор. Для поклонников триллеров, артхауса и потрясающего авторского театра. Колдовские образы, пробирающие до костей. Мгновенные превращения людей в птиц и обратно. Авторский грим, декорации, куклы-маски завораживают до мурашек. Ритуалы и обряды вплетаются в сюжетную канву и создают особый мир древних сказаний.","['Кукольный спектакль', 'Детям']"
Классика при свечах. Сергей Рахманинов,Музей Пушкина,"Чудесным днем приглашаем Москвичей и гостей города в концертный зал — одного из признанных культурных центров Москвы, расположенного в самом сердце Российской столицы, на изысканный фортепианный концерт при свечах в исполнении пианиста-виртуоза. В замечательной акустике и чарующей атмосфере зала для вас прозвучат известные произведения гениального композитора Сергея Васильевича Рахманинова.

Подарите себе и близким праздничное настроение, фейерверк эмоций и незабываемые впечатления!

Вход в концертный зал с Хрущёвского переулка.

Исполнитель на 15 февраля:
Нелли Пчелинцева (фортепиано) — выпускница Ростовской государственной консерватории им. С. В. Рахманинова . Лауреат Международных конкурсов «Medici International Music Competition» (Великобритания), «New music Discovery» (Нур – Султан, Казахстан), конкурс памяти Е.Ф. Гнесиной «Романтизм. Истоки и горизонты» (Москва) и др. Концертмейстер Департамента народных инструментов Международной Академии Юрия Башмета в Сочи. Участница проектов «Opera night».

Дополнительный исполнитель на 15 февраля:
Теймур Кулиев(домра) — победитель III Всероссийского музыкального конкурса, обладатель Гранта Президента РФ, лауреат премии «Молодые дарования России», автор и художественный руководитель проекта «Домра-Модерн». Окончил бакалавриат и магистратуру в Российской академии музыки им. Гнесиных в классе Народного артиста РФ, профессора А. А. Цыганкова. Победитель престижных музыкальных конкурсов и фестивалей, среди которых III Всероссийский музыкальный конкурс (I премия), XIX Международный конкурс имени А. Л. Репникова «Кубок Севера» (обладатель Гран-при) и многих др.

Исполнитель 29 марта:
Лев Терсков — известный пианист-виртуоз, ученик Заслуженного деятеля искусств РФ, профессора М. С. Лебензон, стипендиат Фонда М. Ростроповича, Правительства РФ и премии Президента РФ. Лауреат и призер Всероссийских и Международных конкурсов, работал с такими дирижерами как И. Шпиллер, В. Рылов, П. Е. Бушков, Кожи Кавамото, Д. Ситковецкий, Георгиос Балатсинос, А. Шахмаметьев и др. Ведет активную концертную деятельность в России и за рубежом.

Дополнительный исполнитель 29 марта:
Светлана Медведева (лирическое сопрано) — выпускница Московской Государственной Консерватории им. П. И. Чайковского. Лауреат I степени второго открытого фестиваля-конкурса военно-патриотической песни «Тебе, Россия!» (Москва, 2011 г.). Лауреат II премии X Международного конкурса-фестиваля «Музыка без Границ» (Литва). Специальный приз «За музыкально-поэтическую интерпретацию современного композитора» (Л.Бернстайн «Ария Кунигунды» из оперы «Кандид»). Учрежденный Фондом им. Микаэла Таривердиева, на XXIII Международном конкурсе вокалистов им. М.И. Глинки (Россия, Москва). В настоящее время является солисткой Москонцерта (Россия, Москва).

Билеты приобретаются на каждого зрителя вне зависимости от возраста.

Продолжительность концерта — 65 мин (без антракта).","['Концерт', 'Классическая музыка']"
